comment,label
bajingan dimana mana korupsi,Negative
testimoni jujur sebagai pengguna lama pertamax  saya pengguna pertamax sejak lama  kandungan sulfur pada pertamax memang sangat tinggi diangka ppm dimana angka ini sama dengan tingkat kandungan sulfur pada pertalite  bahkan pertamax ini hanya bbm berkualitas euro  kandungan sulfur yang tinggi ini mengakibatkan endapan kotoran kerak karbon di dalam ruang bakar mesin  selama saya menggunakan pertamax rata setiap  tahun sekali rotax fuel pump saya pasti rusak  dan setiap saya bongkar mesin saya menemukan piston di dalam ruang bakar mesin saya dipenuhi endapan kotoran kerak karbon  jadi klaim yg mengatakan penggunaan bbm jenis pertamax dapat membersihkan ruang bakar mesin adalah bull shit,Negative
coba kejagung juga di periksa,Negative
sepertinya  hasil mreka korupsi di bagi buat petinggi negara  juga ga ada hukuman berat membuat ga ada kapoknya korupsi  shit my country,Negative
bandit,Negative
kl tdk berbuat tdk mungkin ditahan  dan sebutin aj semua yg terkait  ko baru sek pake hijab,Negative
mahkamah agung adalah titik lemah pemberantasan korupsi  banyak tersangka dan terhukum korupsi yg dikorting hukumannya oleh ma  kalau indonesia hancur karena korupsi maka ma adalah pihak yg paling bertanggung jawab,Negative
di hukm mati saja,Negative
karen ini wanita anggun yg membanggakan  punya prestasi mentereng sayang dalam perjalanannya kalah pengaruh dg penjahat kakap dia tak berdaya akhirnya jadi tersangka oleh kpk  siapa yg nyuruh kpk,Negative
hukum mati  yg setuju berarti sependapat,Negative
bg erik mantap sebagai bumn bg erik ok bg erik bg erik  ntot,Negative
sudah waktunya koruptor di hukum mati kl mau negara ini makmur,Negative
gini masih percaya sama danatara  ini baru bumn  apa jdnya klo holding  ckckck,Negative
ayo bu  buka an saja  biar kebobrokan terbuka yg bau juga tercium,Negative
paling mentok  taun kalau berkelakuan baik dan ada tanggungan keluarga bisa lebih ringan lagi,Negative
inilah yg bikin indonesia gelap,Negative
orang semacam lebih pantas disebut  penghianat negara  daripada koruptor  mereka bukan sekedar merugikan negara dan menyengsarakan rakyat tapi secara jelas bertujuan menghancurkan negara  lantas hukuman apa lebih yang pantas untuk mereka  para penghianat negara di negeri manapun berhadapan dengan uu makar  tidak ada keringanan untuk para pelakunya  uu korupsi terlalu ringan untuk kasus ini  mereka ini  enemy of the state  melakukan permufakatan jahat untuk menghancurkan negara  semoga menjadi pertimbangan untuk penegak hukum untuk menerapkan vonis dan sekaligus menjadi contoh efek jera untuk pejabat lain,Negative
klu konsumen yg dirugikan selama  pembelian pertamax  mendingan boikot pertamina  kita ganti shell saja atau yg lainnya,Negative
saya ga yakin dia seberani itu  kalo tidak ada perintah dari pejabat yang lebih tinggi,Negative
pak prabowo  ini suara rakyat semut  t itu bukan brg sedikit  harap harga bbm di kalkulasi ulang  dan hukum seberatnya semua yg bersangkutan  pembelian pertamax beda  lebih mahal dr pertalite itu sdh buat kita sengsara,Negative
koruptor  hukum mati aj krn sbg penghianat bangsa,Negative
dari dulu ga pernah beli pertalite selalu pertamax dgn alasan spy performa kendaraan ttp terjaga  ehh ditipu  sampe diketawain temen yg selalu beli shell,Negative
detail dan jelas tahu bu karen ini  bongkar aja semua bu,Positive
klw tak bersalah tak mungkin ditetapkan sebagai tersangka dan ditahan,Negative
semangat bu  harusnya ibu tetap kerja di swasta oil barat saja  sayang skill disiakan dan jadi korban di negara sendiri  pelajaran generasi muda,Positive
kenapa orang baik dan jujur kok mesti jadi korbann  semoga azab yg dijanjikan oleh pencipta secepatnya ada  amin,Negative
yuk pindah ke shell,Neutral
hehehe  di indonesia ini kalau hukum benar di tegakkan otomatis akan banyak sekali pejabat yang masuk penjara,Negative
betul kata koh lung  minyak di indo ron  gak asli ron nya segitu  pasti lebih rendah,Negative
setiap berita yg muncul gk pernah kasus lain  korupsi mulu,Negative
ibarat pembunuhan ini pembunuhan berencana skrenarionya benar tersusun rapi kl pembunuhan berencana korban satu orang aja hukuman mati ini sih lebih dr hukuman mati,Negative
semua lembaga negara konoha curaption  bahkan lembaga kementerian agama  ngeri  negara paling religious dimuka bumi,Negative
pertamina jadi atm pejabat,Negative
masyrakat d negeri ini  tolol selalunya lihat judulnya dan lihat gayanya asal judul bagus komentar bagus walau iya tdk bener kalo penampilan sopan walau iya tukang makan uang haram di bela di puji  itulah ketipu semua dgn penampilan para pemimpin,Negative
perampok berdasi,Negative
hukum mati aja  untuk koruptor negara di atas t,Negative
tombol alam menangis,Negative
aspirasi rakyat  agar indonesia tidak gelap miskinkan dan hukum mati atau minimal seumur hidup bagi para koruptor,Negative
saya curiga  mungkin ini bisa merembet ke ex petral,Neutral
negara ini hancur di karenakan bangsa sendiri yg berwatak koruptor dan mereka tidak cinta masa depan negara ini maupun rakyat miskin,Negative
siapa sebenernya yg dibidik,Neutral
maaf brp tahun yah hukumanya,Neutral
negara ini hancur di karenakan bangsa sendiri yg berwatak koruptor dan mereka tidak cinta masa depan negara ini maupun rakyat miskin,Negative
hukum mati koruptor penghianat negara,Negative
di hukum dor yg lain biar jera,Negative
aneh ya bila pertamina rugi terus  padahal rakyat tidak boleh ngutang belinya bbm,Negative
bocoor lagi,Negative
hukum mati aja itu para setan,Negative
pertanyaan penting nya adalah  siapa saja oknum yang menikmati uang sebanyak itu  siapa yg kontrol atau yg mengawasi dan apa alat kontrol nya spaya itu tidak terjadi lagi ke depan nya  salam akal sehat  salam bongkar semua oknum nya yg terlibat hal itu,Neutral
jgan harap indonesia maju  sebelum undang koruptor yg terlibat dihukum mati  minimal dimiskinkan di bui selamanya sampe modar,Negative
ga akan ada efek jera hukum lemah,Negative
ada yg jidatnya gosong masih korupsi,Negative
koruptor dimaafkan  tenang,Negative
lagi senang menikmati pensiun malah dipanggil lagi,Negative
orang  seperti inilah yg membuat rakyat makin susah kita simak berapa tahun dia akan di penjara,Negative
hukuman mati pkoknya harus hukuman mati,Negative
hukuman mati harus segera di buat,Negative
kejar terus dan tangkap bandit  osak perilaku minyak  licin  seperti minyak  bisa jadi lebih dari  orang tersangkanya bila  terbukti  hukum seberat beratnya,Negative
bongkar semua bu  biar pake gelang yg sama,Negative
udah hukum mati aj  kalo tidak buang aja dari indonesia,Negative
ini ada lg ni  bateng klo ga berani ngasahin hukuman untuk koruptor potong aja banteng nya,Negative
apa ini yg menyebabkan kmrn ramai tengki karatan padahal isi pertamax,Neutral
hyu bu bongkar semua jgn mau dikorbankan,Negative
lbh baik nggk ush cari pembenaran dimedia bu  kasihn ibu sdh diborgol  argumen saja dimedia,Negative
hukum mati sj pak,Negative
itu waktu pemimpin sby  koptor baru di proses,Negative
terkuak sudah ksus mega coruptor pertamina ini tinggal negara mau ggak tindak tegas para coruptor biadab ini,Negative
pertanyaannya apakah pak wowo brani buat uu hukuman mati atau uu perampasan aset klo brani saya acungin jempol,Negative
kapan baru ada pemimpin di negara ini yg bisa basmi org yg korupsi,Negative
di tumbalin,Negative
kalian semua penipu rakyat,Negative
hancur indonesia gak ada ketegasan,Negative
orang rakus  tamak gak pernah bersyukur  buat apa sj uang segitu  mati ya gak di bawa  paling gak kerja sendiri  usut tuntas,Negative
ayo rakyat stop bayar pajak sebelum mulyono plus leluarga dan kroni  nya di jebloskan ke penjara saat nya rakyat n bergerak indonesia akan tenggelam,Negative
wkwkwk  kasus masa sby,Neutral
kasus firli beku,Negative
itu presiden nya siapa itu mentri nya siapa sikat berani ga kpk,Negative
hukum mati wae,Negative
korupsi rugikan negara t fonis thn penjara  korupsi rugikan negara t fonis thn penjara  mungkin hukum para koruptor yg akan dijlnkan di nkri kita  bagusnya hukuman mati biar ada unsur gerah bagi pejabat  jahanam,Negative
korupsi seharusnya di ujung menjadi persiden,Negative
tururun kan harga bbm jenis pertalet ini sebagai compensai ganti rugi atas kecurangan axn,Negative
terlihat santai dan ngga tau malu ya  karena mental mereka mental penyuap di dalam sel pun semua fasilitas tersedia apapun itu atau bahkan mau plesiran juga bisa yang penting bayar,Negative
semua koruptor harus di miskinkan,Negative
coba masyarakat suruh menghakimi,Negative
gimana mau maju negri ini ya allah sedangkan pejabatnya masih banyak yang korupsi,Negative
info ka tidak nyambung  mungkin ada perbuatan kesalahan kebijakan pertamina  tapi tidak sebesar isue yg dilempar kemasyarakat  karena masalah import minyak mentah sejak berdiri pasti pertamina akan import dari timur tengah  sebab jenis minyak mentahnya  crude  beda dengan yg ada di indonesia  untuk minyak yg di indonesia jenis crudenya lebih muda dan dikelola secara bisnis lebih menguntungkan karena banyak menghasilkan oli dan aspal  artinya antara crude impor dari timur tengah berbeda dengan crude lokal indonesia dan ini sejak ada pengolahan minyak sampai saat ini tetap harus import karena desain pabriknya  serta dengan tambahnya kebutuhan bbm yg setiap hari mobil dan motor bertambah tapi pabrik pengolahan tidak bertambah sejak zaman pak harto  ini semua prediksi sy adalah pengalihan isue gejolak demo mahasiswa tentang efisiensi anggaran,Neutral
hukuman yg cocok tanam tinggal kepala nya doang terus ramai di lempar dg batu,Negative
harun masiku mana woyy,Negative
makin lucu aja  ada yg  t ada juga  t dan kebanyakan semua aparatur negara membudi dayakan korupsi  dengan cara dan bagianya masing  wes embuhlah  intinya rakyat gk kerja gk makan,Negative
korupsi udah biasa itu  ntar juga bebas,Negative
uy netizen  kali ini kita pantau baik persidangan mereka  termasuk para hakim  my spider sense is tingling,Neutral
mudahan bapak presiden menjadikan indonesia bebas korupsi dan membasmi para penjahat yg terlindungi selama ini,Positive
hebat  semua d makan,Negative
biadap,Negative
ini semua terjadi karna dpr ogah sah kan ruu perampasan aset para koruptor,Negative
saya ga percaya begitu saya  saya yakin mereka tidak salah sepenuhnya  namun ada oknum yang tidak tersentuh  jawab sendiri siapa  semua orang tahu bumn adalah mesin uang bagi siapa  semua orang juga tahu,Negative
bu karen bajunya garis nih,Negative
hukum mati aja puas,Negative
pak eweh sebehan ges loba duit geh nabeng bae korupsi,Negative
hahahaha  elpiji di oplos  bbm di oplos  miras di oplos  indonesia ku,Negative
indonesia hukum bisa di beli  jadi gak ada yg di takuti  gua kasihan sama yg kasus singkong,Negative
jadi yang bakal degradasi siapa,Negative
langsung cemplungin ke tanki bbm,Negative
yg jelas manusia serakah ini gak punya iman  tapi hanya menuruti hawa nafsu dan keinginan  setan  mereka ini ingin memiskinkan rakyat indonesia  dn memperkaya keturunan  kami rakyat mengatakan  ambil semua milik negara yang di curi orang seperti ini,Negative
kalo para bajingan negara tidak di tindak tegas akan merajalela dan semakin kurang ajar dan semakin biadab,Negative
hukuman dan peraturan hanya ditujukan untuk rakyat kecil dinegara ini  apalagi sekarang untuk rakyat kecil cari uang susahnya minta ampun  pasar mulai sepi ekonomi makin memburuk,Negative
kayak gitu  mana ada yg bersih  pintar doang banyak  pejabat dibawah sumpah aja tetap korup artinya apa  munafik semua,Negative
palingan juga thn,Negative
argumen di pengadilan  depan hakim  publik kan hakim,Neutral
perintah jabatan berarti dari presiden  siapa presiden nya,Neutral
pak jaksa  itu cewek krudung hitam ngeledekin bapak  klo korupsi di berantas  indonesia hanya tinggal rakyat sipil  semua pejabat negara konoha pasti korupsi  pemilihan bupati aja si calon berani bayar  ribu per ktp  gaji bupati berapa  pasrah aja deh kalo tinggal di indonesia,Negative
udah kenyang ya korupsinya makanya tuhan bikin kalian malu sebagai maling dan penipu,Negative
harus ya korupsi hukuman mati,Negative
keluarganya pasti hidupnya tidak akan normal apalagi anak cucunya tunggu dalam waktu dekat penderitaan rakyat akan menghantam keluarga para kuruptor itu pasti,Negative
bakar hidup beress  setuju uu,Negative
pln siap  ya,Neutral
optimalisasi pendapatan negara dari bumn  daripada milih malaki rakyat,Neutral
hukuman gantung bt koruptor,Negative
nah gini donk pakai baju keagamaan  biar menarik simpati ya bu  semoga selamat,Negative
liat wajahnya orangnya kalem  tapi kok rakusnya bukan main,Negative
kembangkan,Neutral
ibu nya tau masalah dan pelaku tp ngga berani ngomong  jd kambing congek,Negative
kerja  th blm tntu punya uang  m mending  th dpt  klu  jd berapa th palagi olh  org,Negative
dewan komisarisnya tau ga ya,Neutral
orang kok rakus amat  g liat org miskin yg nyari dwt hari ini buat makan trus buat besok hrs nyari lg,Negative
hasil malingnya udh triliunan baru diungkap  kalau korupsi sedikit nantinya gak bisa bayar suap sana sini,Negative
koropsi sejarang gila sampai triliunan negara apah inih,Negative
terimakasi pak prabowo  untung bapak yg jadi president klu bukan bpak  tikus ini blum tentu tertangkap  kita masyarakat sdah tertipu sekian lama,Positive
ya allah  yg jelas korupsinya malah ga ditangkap  semoga yg dituduhkan ke bu karen tidak terbukti dipengadilan,Negative
seru menanti pengakuan dlm ruang sidang,Positive
tolong kejaksaan tuntutan maksimal  dan tersangka suruh buka masker itu biar di tonton seluruh rakyat wajah nya,Negative
ngusut anak ny saja tidak berani apalgi ngusut bapak ny,Negative
hukum mati,Negative
knp ga semua pejabat diperiksa secara mendalam  ga berani,Negative
elnusa petrofin selaku distributor bbm dari pertamina apa tidak di cek bpk kpk  secara itu anak pertamina elnusa tbk,Neutral
oh ala dasar maling buat rakyat indonesia aj jadi miskin gaya elit ternyata uang koropsi,Negative
hampir semua pejabat senengnya korupsi,Negative
skrng yg di incer bukan lg di pemerintahan ya  tp di setiap perusahaan  dan korupsinya lebih guede dripda di dlm pemerintahan  guede bngt,Negative
setelah karen resign sapa ceo dan komutnya  tanyailah,Neutral
brni gak negara miskinkan mereka  sita smua  stlah bebas  kasih rumah di rusun dan kasih modal  juta buat pesangon  suruh buka usaha,Negative
buat hukum mati  org gini jgn di biar kan,Negative
keren presiden kita  sikat semua koruptor,Positive
hukum yg terlalu ringan tdk membuat kapok para koruptor,Negative
lagi kebijakan ngawur dan bodoh dari pemerintah,Negative
tunjukan muka sedih klo udh ketangkep sblmnya hepi dasar maling jancok,Negative
ace acer pejabat kita jika ingin merebut kedudukan  mengganti jabatan pejabat lain selalu akan ada yg di korbankan atau di keriminalisasi oleh pihak yg mengincar jabatan itu kasus seperti ini sering terjadi dan selalu terjadi  mereka akan terus mencari cara untuk menjeblokskan orang yg tahu seluk beluk perusahaan bumn sebab orang itulah yg sebenar nya merugikan pertamina yg akan menghancurkan pertamina secara sistematis mereka sudah terkoordinasi supaya pertamina hancur  semenjak orangbermasalah menjadi komisaris utama pertamina banyak kasus yg merugikan pertamina seperti kebakaran kilang minyak pertamina sering terjadi seperti di sengaja dan seperti sudah di rencanakan  pertamina merugi  padahal harga bbm di negara ini lebih mahal dari negara lain mereka bicara pertamina merugi rakyat patut bertanya kpd semua komisaris pertamina yg menerima haji milyaran apa yg mereka kerjakan selama jadi komisaris utama pertamina  jika tdk mampu  tdk pandai  tdk becus mengatasi masalah yg terjadi di pertamina lebih baik pada mundur saja  karena tdk seimbang apa kalian kerjakan dengan gaji yg kalian terima salam akal waras  anak nkri,Negative
hukum mati pak,Negative
koruptor harus dihukum mati,Negative
sibangsatt,Negative
koar kaya orang paling besih  padahal kotir,Negative
bravo kejaksaan agung ri,Positive
apbn defisit sementara bumn uangnya dikorupsi rame  luarbiasa  keterlaluan,Negative
mungkin ibu agustina mendukung pak anies jadi di obok,Negative
coba selidiki semua bumn pasti banyak penyelewengan dan teliti ulang semua bumn yg di tutup pemerintah pasti ada keterlibatan pemerintah dlm pengelolaan operasional perusahaan tersebut ada kebijakan yg merugikan bumn,Negative
mantap prabowo persiden sudah mulai terkuak korupsi besar pamtesan harga bbm naik terus dan petamina rugi rupa nua sgtu di korupsi,Positive
pendukung desa suna pasti bela dan nyari kesalahan yang saat ini pegang kekuasaan  padahal dia jabat di hokage sebelumnya  orang dulu memang kompakan sama orang korup  sampe gak ke endus sampe sekarang  sepi belum tentu bebas dari orang korup boys  tapi saling tutup menutupi  rapet  kocak lagi nitizen yang ngomong penjelasannya bagus pasti orang jujur  kalo gak pinter ngomong gak bakal jadi direktur kocakk  lagian kalo periode sebelumnya kalo perusahaan minus  di masa depan tetep harus nanggung minusnya  ya kali periode sebelumnya minus  trus ganti periode dilupain aja,Negative
hukum mati,Negative
semoga bu karen segera kembali ke keluarga  bukan kesalahan bu karen  bu karen jadi korban  bu karen bekerja antara lain keppres  dan inpres  pekerjasn rugi karena kintinyutas pekerjaan beralih kepada dirut pengganti  apabila program bu karen berkelanjutan menjalankan programnnya pasti negara tudak akan rugi  penyebabnya ada penggantian pejabat sejalan dengan dinamika politik yaitu penggantian presiden otomstis penggantian dirut pertamina  sehingga program dirut bu karen tidak dilanjutkan  bu karen jadi korban  bu karen yang kuat dan sehat selalu  aamiin ya robbal aalamiin,Positive
teriak uu perampasan aset ac,Negative
hukum mati plis  klo ga hukum mati kebangetan ini negara  busuk bgt dimata dunia,Negative
di gantung aja kalau udah merugikan negara begitu besar  kasihan rakyat,Negative
surga menolak tubuh yg memakan uang haram  kalau ngga ke surga  ya ke yg sebelahnya  siapa lagi kalau bukan jahanam,Negative
hmm jamanya sapa ituu,Neutral
apa betul selevel eks dirut pertamina bisa dijadikan tersangka  kambing hitam  kalau tidak bersalah,Neutral
indonesia terlalu banyak pejabat bajingan yg tidak berguna bagi bangsa indonesia  mereka menjadi pejabat hanya untuk menghancur kan negara nya sendiri  smoga allah swt mengazab atas perbuatan mereka yg telah membuat rakyat indonesia menderita,Negative
tp ininegri konoha  disitu yg bikin aturan disitu yg korup,Negative
hahahaha  kliatan ketakutannya dengan cara menunjukan lempar batu sembunyikan tangan,Negative
waduh  mak diikat begitu,Neutral
indonesia ingin jadi negara maju tapi korupsi masih mengerogoti apakh bisa dengan adanya korupsi terus menerus indonesia jdi negara maju,Neutral
bagaimana korupsi mau berkurang kalau uu perampasan aset saja sampe skrang belum kelar  dpr sama saja membantu koruptor itu sendiri atau dya ikut terlibat dlm korup itu sendiri,Negative
enak ya jadi koruptor  hukuman  tahun penjara eh baru  tahun dipenjara sudah bebas,Negative
apakah ini tumbal,Neutral
kambing hitam lagi,Negative
kenapa pejabat bawahan yg selalu jadi korban kebejatan pejabat atasannya,Negative
nah kalo semua bisa di tindak harus jelas dasar hukum kalo aksi korporasi semua yg terlibat dlm keputusan hrs di ciduk,Neutral
kok baru sekarang,Negative
yang komentar bukan korupsi tapi rugi tidak sengaja itu oknum pendukung koruptor atau kelompok kerja sama koruptor,Negative
aduh kalau betul nih blunder lagi kpk hadeh,Negative
dirut jaman sby ini mah,Neutral
ahh kpk sekarang g netral,Negative
sabar bu ini hnya tumbal,Positive
ayoo bu karen buktikan dan buka semuanya di pengadilan  semoga kalau anda tidak bersalah  maka harus dibebaskan dan di rehabilitasi,Positive
mantap bu dirut,Positive
bu karen di korbankan  tetap sehat  kuat bu,Positive
akan terus berkembang nih  penyelidikannya,Neutral
betul sekali  kl ada kasus yg agak kontroversi spt ini ada baiknya pihak yg melaporkan dan pihak kpk mesti diusut juga ada apa ini sebenarnya dinegara tercinta kita ini,Neutral
semoga ibu sehat dan kuat dalam menghadapi cobaan ini,Positive
kenapa banyak pelaku korupsi ketika sudah menjadi tersangka mendadak islami penampilan nya,Negative
korupsi sudah mendarah daging dengan pejabat indonesia,Negative
indonesia tidak akan maju kalau masih ada orang  yang menjadi pejabat berjiwa korupsi,Negative
uda pernah jadi tersangka sebelumnya,Neutral
seperti mantan menkes siti fadillah supari  dkriminalisasi  tdk korupsi tp dipenjara  th,Negative
konoha gelap krn batako,Negative
gelo wkkwkwkw,Neutral
ibu ini org jujur  dr jawabannya lugas  kalau bohong bertele  cari  pembenaran  tapi ibu ini tidak  lugas dann dr gesture wajar jujur dan menahan beban,Positive
mereka cuma pelaksana pelaku utama masih ngopi sambil nonton berita ini dan baca komentar netizen,Negative
kenapa orang baik dan jujur kok mesti jadi korbann  semoga azab yg dijanjikan oleh pencipta secepatnya ada  amin,Positive
kl emang bersih ibu maju terus  sampai biang keroknya ketemu  rakyat sll mendoakan orng yg bersih  smga masalah ibu cepat selsai  aamiin yra,Positive
mereka ternyata impor pertalite dijual jadi pertamax  selama ini konsumen dirugikan beli pertamax ternyata isinya pertalite,Negative
semoga menjadi pintu masuk  mengungkap pelaku utama sebenarnya yang telah menguasai bisnis minyak di pertamina  tahun lebih  orang tsb hanya generasi baru saja  tetapi pelaku utama yg sudah mengakar belum,Positive
sedih buu saya mendegarnya ini  dulu mendengar ibu karen d bebaskan demi hukum saya ikut senang ibu salah satu putri terbaik indonesia  semoga ibu dpt melewati cobaan ini dan d berikan kekuatan oleh allah swt  buktikan semua d persidangan bu karen,Positive
